word,CDC2013,CDC2014,CDC2015,CDC2016,ICML2013,ICML2014,ICML2015,ICML2016
node,0.000306250714204091,0.000276721036747002,0.00023742464095342287,0.0003341160310727909,7.324799941401601e-05,0.00022393822393822394,0.00016763423973460852,7.596026434171991e-05
previous work,0.000164552622557422,0.0002896519263146189,0.00016759386420241615,0.00021346301985206086,0.00029299199765606403,0.00018532818532818532,0.0002117485133489792,0.00016880058742604423
stochastic gradient descent,1.3712718546451835e-05,1.55170674811403e-05,0,5.568600517879848e-05,0.000329615997363072,0.00018532818532818532,0.0003705598983607136,0.0007089624671893859
real,0.00014855445091989486,0.00010861947236798209,0.00011638462791834455,0.00013225426229964638,0.00035708399714332804,0.0002471042471042471,0.00030879991530059466,0.00025320088113906636
regret bound,9.141812364301223e-06,0,0,3.712400345253232e-05,0.00025636799794905604,0.00043243243243243243,0.0004940798644809515,0.00043888152730771503
empirical,2.2854530910753055e-05,2.8447957048757214e-05,3.491538837550336e-05,3.480375323674905e-05,0.000302147997582816,0.00041698841698841697,0.00039702846252933597,0.0004304414979364128
previous,0.00012341446691806652,0.00017844627603311343,0.000128023090710179,0.00013689476273121294,0.00029299199765606403,0.000277992277992278,0.000264685641686224,0.0002616409105103686
feedback control,0.00038395611930065136,0.0005068908710505831,0.0004655385116733782,0.00030627302848339167,0,0,0,0
closed-loop system,0.0003656724945720489,0.0004448226011260219,0.0004096738902725728,0.00040836403797785554,0,0,0,3.3760117485208846e-05
time series,1.8283624728602445e-05,4.137884661637413e-05,5.5864621400805384e-05,2.784300258939924e-05,0.00029299199765606403,0.0003088803088803089,0.0005646627022639445,0.00033760117485208846
latent variable,0,0,9.310770233467563e-06,9.28100086313308e-06,0.00025636799794905604,0.0006486486486486486,0.00028233135113197227,0.00043888152730771503
state-of-the-art,1.1427265455376528e-05,2.8447957048757214e-05,2.327692558366891e-05,3.016325280518251e-05,0.000402863996777088,0.00041698841698841697,0.0003440913341920912,0.00037980132170859957
game,0.00029025254256656385,0.00026896250300643184,0.00032587695817136474,0.0003712400345253232,5.4935999560512006e-05,0.00011583011583011582,0.0001058742566744896,9.284032308432433e-05
theory,0.00021483259056107872,0.00027930721466052537,0.00026768464421219246,0.00028307052632555894,9.155999926752e-05,0.00013127413127413129,0.00014998853028886026,0.00018568064616864867
efficient algorithm,3.656724945720489e-05,3.10341349622806e-05,5.5864621400805384e-05,3.712400345253232e-05,0.0005127359958981121,0.00033976833976833977,0.00035291418891496534,0.00023632082239646195
kalman filter,0.0004570906182150611,0.0004137884661637413,0.000297944647470962,0.0002877110267571255,0.00010987199912102401,0,3.5291418891496534e-05,0
